timestamp,app_name,minutes_away
2023-11-05 06:56:07,Colaborar - Algoritmos e Programação Estruturada (3711938701) — Mozilla Firefox,0
2023-11-05 06:56:22,Visual Studio Code,0
2023-11-05 06:56:22,0-Aulas.py - PyWindows - Visual Studio Code,0
2023-11-05 06:56:22,Configurações - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 06:56:38,Aula 1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 06:56:53,Colaborar - Algoritmos e Programação Estruturada (3711938701) — Mozilla Firefox,0
2023-11-05 06:56:53,Colaborar - Análise do Discurso (3741671901) — Mozilla Firefox,0
2023-11-05 06:56:53,Aula 1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 06:57:08,Aula 1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 06:57:23,Aula 1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 06:57:23,Colaborar - Análise do Discurso (3741671901) — Mozilla Firefox,0
2023-11-05 06:57:23,Mozilla Firefox,0
2023-11-05 06:57:23,"'gcc' is not recognized as an internal or external command, operable program or batch file. - Pesquisa Google — Mozilla Firefox",0
2023-11-05 06:57:23,gcc is not recognized as an internal or external command | bobbyhadz — Mozilla Firefox,0
2023-11-05 06:57:39,gcc is not recognized as an internal or external command | bobbyhadz — Mozilla Firefox,0
2023-11-05 06:57:54,gcc is not recognized as an internal or external command | bobbyhadz — Mozilla Firefox,0
2023-11-05 06:57:54,System Properties,0
2023-11-05 06:57:54,Environment Variables,0
2023-11-05 06:58:09,Environment Variables,0
2023-11-05 06:58:09,Edit environment variable,0
2023-11-05 06:58:24,Edit environment variable,0
2023-11-05 06:58:24,gcc is not recognized as an internal or external command | bobbyhadz — Mozilla Firefox,0
2023-11-05 06:58:39,gcc is not recognized as an internal or external command | bobbyhadz — Mozilla Firefox,0
2023-11-05 06:58:39,Startup,0
2023-11-05 06:58:39,bin,0
2023-11-05 06:58:39,Edit environment variable,0
2023-11-05 06:58:54,Edit environment variable,0
2023-11-05 06:58:54,Environment Variables,0
2023-11-05 06:58:54,gcc is not recognized as an internal or external command | bobbyhadz — Mozilla Firefox,0
2023-11-05 06:59:10,gcc is not recognized as an internal or external command | bobbyhadz — Mozilla Firefox,0
