total_time,app_name
2023-11-03 10:29:41,tracker_data.ipynb - PyWindows - Visual Studio Code
2023-11-03 10:29:41,tracker_data.ipynb - PyWindows - Visual Studio Code
2023-11-03 10:38:15,tracker_data.ipynb - PyWindows - Visual Studio Code
2023-11-03 10:38:20,tracker_data.ipynb - PyWindows - Visual Studio Code
2023-11-03 10:38:25,tracker_data.ipynb - PyWindows - Visual Studio Code
2023-11-03 10:38:25,seuarquivo.csv - PyWindows - Visual Studio Code
2023-11-03 10:38:30,seuarquivo.csv - PyWindows - Visual Studio Code
2023-11-03 10:38:35,seuarquivo.csv - PyWindows - Visual Studio Code
